French,English
histoire,history
police,police
demande,request
genre,kind
mois,month
laisser,let
mettre,to put
laisse,leash
ville,city
parlé,speak
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
parle,speak
compris,understood
savais,knew
voici,here is
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
vers,towards
chambre,bedroom
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
